Date,Site,Station Depth (m),Sample Depth (m),Sample Depth (category),Local Time (Eastern Time Zone),Latitude (decimal deg),Longitude (decimal deg),Wind speed (knots),Wave Height (ft),Sky,Secchi Depth (m),CTD Temperature (C),CTD Specific Conductivity (uS/cm),CTD Beam Attenuation (m-1),CTD Tramission (%),CTD Dissolved Oxygen (mg/L),CTD Photosynthetically Active Radiation (uE/m2/s),Turbidity (NTU),Particulate Microcystin (ug/L),Dissolved Microcystin (ug/L),Extracted Phycocyanin (ug/L),Extracted Chlorophyll a (ug/L),Total Phosphorus (ug P/L),Total Dissolved Phosphorus (ug P/L),Soluble Reactive Phosphorus (ug P/L),Ammonia (ug N/L),Nitrate + Nitrite (mg N/L),Particulate Organic Carbon (mg/L),Particulate Organic Nitrogen (mg/L),Colored Dissolved Organic Material absorbance (m-1) at 400nm ,Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L)
7/15/2019,WE13,,8.6,Bottom,,,,,,,,23.1,278.9,1.7,66,4.1,15.19,,<0.1,<0.1,0.48,3.81,,,,,,,,,,
7/15/2019,WE16,6.67,0.75,Surface,10:42,41.6592,-83.1435,5.91,0.59,sunny,2.25,26.1,303.6,1.5,68.3,5.7,979.28,3.54,<0.1,<0.1,6.11,7.92,26.75,8.94,6.28,40.32,0.814,0.6,0.1,1.19,2.27,0.71
7/22/2019,WE2,6.1,0.75,Surface,13:20,41.763,-83.3289,7.52,1.32,partly sunny,0.5,26.7,331,5.1,27.9,7,158.83,23.1,10.88,<0.1,220.74,143.23,130.08,13.19,,,,6.67,1.27,2.01,21.56,14.28
7/22/2019,WE2,,5.1,Bottom,,,,,,,,26.5,323.2,4.3,34.1,6.6,0.07,,0.78,<0.1,15.52,7.66,,,,,,,,,,
7/22/2019,WE4,8.93,0.75,Surface,9:23,41.8311,-83.195,13.67,2.6,partly cloudy,1.5,25.8,270.9,1.9,63,6.1,750.79,4.33,1.7,<0.1,54.54,18.4,29.96,3.88,,,,1.51,0.3,0.88,3.92,3.41
7/22/2019,WE6,3.26,0.75,Surface,12:25,41.7051,-83.3865,7.06,0.98,mostly sunny,0.5,27.1,445.9,9,10.9,6.6,122.84,25.8,11.41,<0.1,211.41,97.5,138.13,48.49,,,,4.28,0.77,3.39,22.96,9.69
7/22/2019,WE8,5.47,0.75,Surface,8:32,41.8354,-83.3584,14.28,2.86,partly cloudy,0.75,26.4,332,5.1,28.7,6.7,94.41,19.3,5.18,<0.1,94.25,49.79,54.98,12.27,,,,2,0.34,2.21,13.76,4.41
7/22/2019,WE8,,4.7,Bottom,,,,,,,,26.4,332,4.1,35.6,7.1,3.72,,5.06,<0.1,60.56,30.16,,,,,,,,,,
7/22/2019,WE9,3.29,0.75,Surface,12:48,41.7177,-83.4227,8.3,0.89,partly sunny,0.25,27.7,475.8,17.1,1.4,4.3,72.73,27.3,1.57,<0.1,22.75,71.27,188.34,69.98,,,,2.97,0.54,4.44,30.92,5.89
7/22/2019,WE12,7.35,0.75,Surface,11:26,41.706,-83.2518,9.88,1.93,partly sunny,0.75,26.1,262.2,6.5,19.5,5.9,355.59,13.3,0.67,<0.1,7,13.98,34.32,4.81,,,,1.19,0.18,0.9,14.96,2.09
