date,station_name,station_depth_m,sample_depth_m,sample_depth_category,time,lat,lon,wind_speed,wave_height,sky,secchi_depth,ctd_temp,ctd_specific_conductivity,ctd_beam_attenuation,ctd_transmission,ctd_dissolved_oxygen,ctd_par,turbidity,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,total_p,total_dissolved_p,soluble_reactive_p,ammonia,nitrate_nitrite,particulate_organic_c,particulate_organic_n,cdom,tss,vss
8/17/2020,WE6,3.03,0.75,Surface,10:27,41.7053,-83.3856,1.94,0.66,cloudy,0.7,25.5,321.1,,,6.96,,13.1,0.86,0.28,80.26,43.03,70.5,10.38,6.5,4.16,<0.002,3.16,0.52,1.16,13.8,6.91
8/17/2020,WE8,5.3,0.75,Surface,8:01,41.8335,-83.3588,7.97,0.66,mostly cloudy,1,25.4,250.3,,,7.19,,6.42,0.66,0.19,17.05,21,34.95,6.45,5.32,4,<0.002,1.73,0.26,0.61,8.54,4
8/17/2020,WE8,,4.5,Bottom,,,,,,,,25.4,250.5,,,7.42,,,0.84,0.1,19.52,20.41,,,,,,,,,,
8/17/2020,WE9,2.83,0.75,Surface,10:41,41.7177,-83.4235,1.94,0.33,partly sunny,0.4,25.5,363.1,,,7.91,,19.7,0.38,0.17,194.42,89.02,149.21,38.38,29.69,16.38,0.151,4.27,0.78,1.52,22.47,10.1
8/17/2020,WE9,,0,Scum,,,,,,,,,,,,,,,8.35,0.19,1224.74,414.62,,,,,,,,,,
8/17/2020,WE12,6.67,0.75,Surface,9:58,41.7035,-83.255,1.94,0.66,partly sunny,1,25.1,281.6,,,6.73,,7.11,0.15,0.13,13.96,19.5,37.32,6.45,4.92,3.74,<0.002,1.44,0.18,0.8,16.97,7.06
8/17/2020,WE12,,6,Bottom,,,,,,,,25,282,,,7.15,,,0.54,0.16,16.13,22.17,,,,,,,,,,
8/17/2020,WE13,9.14,0.75,Surface,9:05,41.7433,-83.1362,2.92,0.66,mostly cloudy,1,25,260.6,,,6.98,,5.55,0.56,<0.1,12.83,18.66,26.2,4.47,3.93,3.25,<0.002,1.41,0.17,0.68,12.06,5.89
8/17/2020,WE13,,8.4,Bottom,,,,,,,,25,260.8,,,7.46,,,1.6,0.11,14.84,19.24,,,,,,,,,,
8/17/2020,WE16,6.13,0.75,Surface,9:31,41.6582,-83.1454,1.94,0.66,mostly cloudy,1,24.9,257.5,,,7.31,,6.39,2.19,<0.1,57.31,31.28,32.29,3.95,3.22,9.04,0.043,2.04,0.32,0.59,8.42,4.87
8/17/2020,2020.1,,0,Scum,,41.7177,-83.4232,,,,,,,,,,,,16.76,0.37,3695.6,1045.1,,,,,,,,,,
8/24/2020,WE2,5.44,0.75,Surface,11:30,41.7618,-83.331,9.72,0.66,sunny,1,25.4,280.3,,,6.16,,5.98,0.28,0.19,5.62,12.92,32.86,8.22,4.3,2.62,<0.002,1.42,0.19,0.74,7.3,2.77
8/24/2020,WE2,,4.7,Bottom,,,,,,,,25,278.1,,,6.04,,,0.68,0.26,5.17,12.91,,,,,,,,,,
